,brand,img_url,laptop_name,display_size,processor_type,graphics_card,disk_space,discount_price,ratings_5max,disk_type
0,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMF1m5AgAVBpF2yLN-OOTerz2UuXMuLfC8eTpVXEHLsHxZaHJeNou7WiMg2A&s,Notebook 14-df0008nx,14.0,Intel Celeron N4000,Intel HD Graphics 600,64.0,1259.0,0.0,eMMC
1,Lenovo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZYwdGgbYFQchfi2y4IEXZvlWDv93BCZh62bJ9Qqxr2JNb2u87TlfWVx3BFg&s,IdeaPad 330S-14IKB,14.0,Intel Core i5-8250U,Intel UHD Graphics 620,1024.0,1849.0,3.3,HDD
2,Huawei,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSOsKZ_ruXnOH7cL32J4Fai_afz1ppfO7sGm1yCW_Kb5LWFUoSYL9mqoPYlzE&s,MateBook D Volta,14.0,Intel Core i5-8250U,NVIDIA GeForce MX150 (2 GB),256.0,2999.0,0.0,SSD
3,Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbKVT0EXbo2wa9UbPqhvXtGrua0ID_jX_X7SyZFCUjabjRYrvTgHcAEDOJ_OI&s,Inspiron 15 3567,15.6,Intel Core i3-7020U,Intel HD Graphics 620,1024.0,1849.0,0.0,HDD
4,Asus,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCffNymvC2I5U5l5DqAoY8Orff5mBu0cvrHvbzIpWMlmrpMuoci31vjz8EFw&s,VivoBook 15 X510UR,15.6,Intel Core i7-8550U,NVIDIA GeForce 930MX (2 GB),1024.0,2499.0,0.0,HDD
5,Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8t0qqfa3RKiCCrPKwFklsmPeGqvzsrQy7aCTagblU8BmAHFk2a_i49PNDbQ&s,Vostro 5471,14.0,Intel Core i7-8550U,AMD Radeon 530 (4 GB),128.0,3799.0,3.8,HDD
6,Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQi5pDl_3_P6KP4r3WjR3pQVUnB9jVwLCV_DHsQ3Re8mY5qow8e4FG3CVBWbA&s,MacBook Air (Retina),13.3,Intel Core i5 Dual Core,Intel UHD Graphics 617,128.0,4649.0,4.0,SSD
7,Huawei,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMWdbTV6wbVFarJ_o1C5RTZ0nzNPJLXvSoisE3_TdHOi39P5pbVFPyyyu6sU8&s,MateBook D,15.6,Intel Core i5-8250U,NVIDIA GeForce MX150 (2 GB),128.0,2449.0,4.4,HDD
8,Huawei,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZzwIu1M4rUG__92IbZymR07b13X4BUBF2Cg6e_Xjd8xmyz2lZy5BsB0QwSg&s,MateBook X Pro,13.88,Intel Core i5-8250U,NVIDIA GeForce MX150 (2 GB),256.0,4999.0,0.0,SSD
9,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOlgu_4B8itIgdfQUEn7B35eql8vRoBm1EiBIR-zTlnpkkrDTye6_6L3ewIbc&s,14-cf0007nx,14.0,Intel Core i5-8250U,AMD Radeon 530 (2 GB),16.0,2629.0,0.0,HDD
10,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUoltzh9xLCkT7jixRN_lzM7CdhwZrPh5o-Irwldei8IJgoUIfKzsGyGEUSUM&s,15-db0001nx,15.6,AMD A9-9425,AMD Radeon R5,1024.0,1999.0,0.0,HDD
11,Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_eNeA1vPh2rDZhVqDOJnct6hNPDQ0_orJOhUbw2JZvY5MFgXPNOeQsYiPfP8&s,Swift 5,14.0,Intel Core i7-8565U,Intel GMA HD,512.0,4499.0,0.0,SSD
12,Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQi5pDl_3_P6KP4r3WjR3pQVUnB9jVwLCV_DHsQ3Re8mY5qow8e4FG3CVBWbA&s,MacBook Air,13.3,Intel Core i5 Dual Core,Intel HD Graphics 6000,128.0,3399.0,0.0,Flash
13,Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBMZ3IHFrhKvYCqsu2lttFRtWNHtAI_HyVKUNCjsvsrwpyvotiahKGikMCMA&s,Swift 5 SF514-52TP-8933,14.0,Intel Core i7-8550U,Intel UHD Graphics 620,512.0,4899.0,0.0,SSD
14,Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),15.4,Intel Core i7 6 Core,Radeon Pro 555X GDDR5 (4 GB),256.0,9099.0,0.0,SSD
